Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
God's Not Dead,2014,7+,4.7/10,59/100,+ Rent or Buy,10000
The Devil at 4 O'Clock,1961,N/A,6.4/10,59/100,Rent or Buy,10000
Midnight,1939,N/A,7.9/10,59/100,,10000
The Possession of Michael King,2014,18+,5.7/10,59/100,+ Rent or Buy,10000
The Emigrants,1971,7+,8.0/10,59/100,Rent or Buy,10000
The Snake Pit,1948,N/A,7.6/10,59/100,Rent or Buy,10000
Rebels on Pointe,2017,N/A,7.4/10,59/100,+ Rent or Buy,10000
Teen Titans Go! vs. Teen Titans,2019,N/A,6.9/10,59/100,+ Rent or Buy,10000
Escape to Witch Mountain,1975,all,6.4/10,59/100,+ Rent or Buy,10000
A Touch of Sin,2013,N/A,7.1/10,59/100,+ Rent or Buy,10000
Desierto,2015,18+,6.0/10,59/100,Rent or Buy,10000
In China They Eat Dogs,1999,N/A,7.4/10,59/100,Rent or Buy,10000
Orgasm Inc.,2009,N/A,5.9/10,59/100,+ Rent or Buy,10000
Wander,2020,18+,4.9/10,59/100,+ Rent or Buy,10000
Superman: Man of Tomorrow,2020,13+,6.4/10,59/100,+ Rent or Buy,10000
North Sea Texas,2011,N/A,7.1/10,59/100,Rent or Buy,10000
Il divo,2008,N/A,7.3/10,59/100,+ Rent or Buy,10000
Kesari,2019,N/A,7.4/10,59/100,,10000
Happy,2011,N/A,7.2/10,59/100,docu+ Rent or Buy,10000
Pépé le Moko,1937,N/A,7.8/10,59/100,+ Rent or Buy,10000
Leatherface,2017,18+,5.0/10,59/100,+ Rent or Buy,10000
The Raven,1963,all,6.6/10,59/100,+ Rent or Buy,10000
Murder at 1600,1997,18+,6.1/10,59/100,Rent or Buy,10000
Logorama,2009,18+,7.5/10,59/100,,10000
Anchors Aweigh,1945,N/A,7.1/10,59/100,Rent or Buy,10000
Let It Ride,1989,13+,6.8/10,59/100,+ Rent or Buy,10000
Earth Girls Are Easy,1988,7+,5.4/10,59/100,+ Rent or Buy,10000
Scarecrow,1973,18+,7.3/10,59/100,Rent or Buy,10000
Stage Door,1937,7+,7.8/10,59/100,Rent or Buy,10000
The Art of Flight,2011,13+,8.2/10,59/100,Rent or Buy,10000
Welcome to Sarajevo,1997,18+,6.8/10,59/100,+ Rent or Buy,10000
Kira's Reason: A Love Story,2001,N/A,6.9/10,59/100,,10000
See No Evil,1971,7+,6.7/10,59/100,Rent or Buy,10000
One Chance,2013,13+,6.8/10,59/100,Rent or Buy,10000
Saints and Soldiers,2003,13+,6.7/10,59/100,upfa+ Rent or Buy,10000
Fading Gigolo,2013,18+,6.2/10,59/100,+ Rent or Buy,10000
The Journey of Natty Gann,1985,7+,7.0/10,59/100,+ Rent or Buy,10000
Summertime,2015,N/A,6.7/10,59/100,+ Rent or Buy,10000
A Soap,2006,N/A,6.5/10,59/100,Rent or Buy,10000
The Two Jakes,1990,18+,6.2/10,59/100,+ Rent or Buy,10000
Omkara,2006,13+,8.1/10,59/100,Rent or Buy,10000
