Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
The House Invictus,2020,N/A,4.1/10,36/100,Rent or Buy,50000
Sesame Street: Being Green,2009,all,8.7/10,36/100,Rent or Buy,50000
Ira Sleeps Over,1991,N/A,7.6/10,36/100,,50000
Playdate,2013,N/A,5.0/10,36/100,,50000
BB,2016,N/A,5.2/10,36/100,+ Rent or Buy,50000
Hangmen,1987,18+,3.0/10,36/100,,50000
Mai,2013,all,6.7/10,36/100,Rent or Buy,50000
Passionflower,2012,13+,6.6/10,36/100,+ Rent or Buy,50000
Machete,1958,N/A,5.2/10,36/100,Rent or Buy,50000
The Last Year,2002,N/A,4.4/10,36/100,+ Rent or Buy,50000
The Night Never Sleeps,2012,18+,6.8/10,36/100,+ Rent or Buy,50000
Sand,2008,N/A,7.6/10,36/100,,50000
Bodysnatch,2018,18+,2.9/10,36/100,+ Rent or Buy,50000
Mumbai Matinee,2003,N/A,5.2/10,36/100,+ Rent or Buy,50000
A Dancer's World,1957,N/A,6.5/10,36/100,,50000
Intervals,1969,N/A,5.8/10,36/100,,50000
The Shadow People,2017,N/A,3.3/10,36/100,+ Rent or Buy,50000
The Youngest Profession,1943,N/A,6.0/10,36/100,Rent or Buy,50000
Knights of the Damned,2017,N/A,2.6/10,36/100,Rent or Buy,50000
The Cyclotron,2016,N/A,5.8/10,36/100,+ Rent or Buy,50000
Nature: Dogs in the Land of Lions,2018,7+,8.0/10,36/100,,50000
Power Rangers Samurai: Monster Bash,2012,all,3.3/10,36/100,Rent or Buy,50000
The Lucky Ghost,1942,7+,6.1/10,36/100,,50000
The Far Side of Jericho,2006,18+,4.5/10,36/100,+ Rent or Buy,50000
Tunahaki,2010,N/A,8.5/10,36/100,,50000
Buckskin Frontier,1943,N/A,6.2/10,36/100,+ Rent or Buy,50000
Why Does Every Handsome Guy Have a Boyfriend?!,2016,7+,5.9/10,36/100,Rent or Buy,50000
On Day Eight,2018,13+,7.1/10,36/100,Rent or Buy,50000
Soap Life,2013,N/A,8.3/10,36/100,Rent or Buy,50000
Sarah Ang Munting Prinsesa,1995,N/A,7.8/10,36/100,Rent or Buy,50000
Josh Kirby... Time Warrior: Journey to the Magic Cavern,1996,7+,5.5/10,36/100,Rent or Buy,50000
Death Duel of Kung Fu,1979,18+,5.8/10,36/100,Rent or Buy,50000
Blood Beast From Outer Space,1965,N/A,5.4/10,36/100,Rent or Buy,50000
Arizona Bushwhackers,1968,N/A,5.0/10,36/100,+ Rent or Buy,50000
A Day in the Death of Donny B.,1969,N/A,7.0/10,36/100,docc,50000
The Miranda Murders: Lost Tapes of Leonard Lake and Charles Ng,2017,18+,4.1/10,36/100,Rent or Buy,50000
Miss Polly,1941,N/A,5.8/10,36/100,,50000
Ashley's Ashes,2010,N/A,6.7/10,36/100,Rent or Buy,50000
Sexy Timetrip Ninjas,1984,N/A,5.2/10,36/100,Rent or Buy,50000
Fuchsia the Mini-Witch,2010,7+,5.5/10,36/100,Rent or Buy,50000
Restored Me,2016,N/A,7.1/10,36/100,+ Rent or Buy,50000
Dog Eat Dog,2018,N/A,6.5/10,36/100,,50000
Elevate,2011,7+,7.0/10,36/100,contdocu+ Rent or Buy,50000
Rita Rudner: A Tale of Two Dresses,2018,N/A,5.8/10,36/100,,50000
The Clones,1973,7+,4.6/10,36/100,,50000
What's Up?,2006,N/A,3.1/10,36/100,,50000
Bigfoot,2019,N/A,6.9/10,36/100,,50000
A Footnote in Ballet History?,2016,N/A,6.9/10,36/100,,50000
"Uncle Tony, Three Fools and the Secret Service",2014,all,7.6/10,36/100,Rent or Buy,50000
Titanic's Tragic Twin: The Britannic Disaster,2016,N/A,6.7/10,36/100,+ Rent or Buy,50000
Samaantar,2009,7+,7.3/10,36/100,Rent or Buy,50050
Up Goes Maisie,1946,N/A,6.3/10,36/100,Rent or Buy,50050
Shake Rattle & Roll 2k5,2005,N/A,6.3/10,36/100,Rent or Buy,50050
Midnight Devils,2020,N/A,4.8/10,36/100,+ Rent or Buy,50050
Time Kid,2003,all,5.7/10,36/100,+ Rent or Buy,50050
The Cheyenne Tornado,1935,N/A,6.5/10,36/100,,50050
Mighty Express: A Mighty Christmas,2020,N/A,5.2/10,36/100,,50050
What Children Do,2017,N/A,6.7/10,36/100,+ Rent or Buy,50050
The Fantastic World of Juan Orol,2012,N/A,6.9/10,36/100,+ Rent or Buy,50050
Lemon,1969,N/A,5.4/10,36/100,,50050
Enter the Fire,2018,N/A,5.7/10,36/100,+ Rent or Buy,50050
White Island,2016,N/A,4.3/10,36/100,+ Rent or Buy,50050
Happy Camp,2014,N/A,3.6/10,36/100,fear+ Rent or Buy,50050
Happiness Runs,2010,N/A,4.9/10,36/100,Rent or Buy,50050
Mars at Sunrise,2014,N/A,7.8/10,36/100,+ Rent or Buy,50050
The Stranger,1987,18+,5.3/10,36/100,Rent or Buy,50050
Wet Dream: A Skateboard Tale,2014,N/A,6.6/10,36/100,+ Rent or Buy,50050
Hay Foot,1942,N/A,6.0/10,36/100,,50050
Bukowski at Bellevue,1970,18+,7.7/10,36/100,,50050
Vishudhan,2013,N/A,5.7/10,36/100,Rent or Buy,50050
Suicide Squad,1935,N/A,4.4/10,36/100,,50050
