Title,Year,Rating,IMDB Score,Reelgood Rating Score,Available On,url_offset_value
Hot Pursuit,1987,13+,5.8/10,50/100,+ Rent or Buy,20000
Mr In-Between,2001,18+,6.3/10,50/100,Rent or Buy,20000
The Invincible Iron Man,2007,13+,5.9/10,50/100,Rent or Buy,20000
Class of '83,2020,16+,5.8/10,50/100,,20000
The Soviet Story,2008,N/A,8.1/10,50/100,+ Rent or Buy,20000
Knock Off,1998,18+,4.9/10,50/100,+ Rent or Buy,20000
Brotherhood of Blades II: The Infernal Battlefield,2017,N/A,6.7/10,50/100,+ Rent or Buy,20000
Among Wolves,2010,7+,6.7/10,50/100,Rent or Buy,20000
Planet Ocean,2012,N/A,7.9/10,50/100,Rent or Buy,20000
Pan Tadeusz,1999,N/A,6.0/10,50/100,,20000
Tell No One,2012,N/A,6.6/10,50/100,Rent or Buy,20000
Mojave Moon,1996,18+,5.2/10,50/100,+ Rent or Buy,20000
Between Us,2009,N/A,7.3/10,50/100,+ Rent or Buy,20000
The Third Miracle,1999,18+,6.5/10,50/100,Rent or Buy,20000
Meet My Valentine,2015,7+,6.3/10,50/100,upfa+ Rent or Buy,20000
Hellbent,2004,18+,5.5/10,50/100,here+ Rent or Buy,20000
Dorm Daze 2,2006,18+,4.1/10,50/100,+ Rent or Buy,20000
Deep Dark,2015,N/A,5.1/10,50/100,+ Rent or Buy,20000
Angel of Christmas,2015,all,6.2/10,50/100,+ Rent or Buy,20000
The Baker,2007,13+,6.3/10,50/100,Rent or Buy,20000
Soccer Mom Madam,2021,16+,5.2/10,50/100,+ Rent or Buy,20000
Vaxxed: From Cover-Up to Catastrophe,2016,N/A,5.0/10,50/100,Rent or Buy,20000
After the Screaming Stops,2018,N/A,7.2/10,50/100,+ Rent or Buy,20000
Stage Door Canteen,1943,N/A,6.3/10,50/100,+ Rent or Buy,20000
Crocodile,2000,18+,3.8/10,50/100,+ Rent or Buy,20000
Too Young to Die?,1990,18+,5.9/10,50/100,,20000
The Last Warrior,2018,N/A,6.2/10,50/100,+ Rent or Buy,20000
Daddy,2015,N/A,5.6/10,50/100,+ Rent or Buy,20000
Pumpkin Pie Wars,2016,all,6.7/10,50/100,+ Rent or Buy,20000
Adventures of Rufus: The Fantastic Pet,2021,7+,4.2/10,50/100,+ Rent or Buy,20000
The Bride,1985,13+,5.3/10,50/100,Rent or Buy,20000
Frank Zappa & The Mothers - Roxy - The Movie 1973,2015,N/A,8.7/10,50/100,+ Rent or Buy,20000
Everybody Street,2013,N/A,7.7/10,50/100,+ Rent or Buy,20000
The Proud Family Movie,2005,all,5.4/10,50/100,+ Rent or Buy,20000
Young and Wild,2012,N/A,6.1/10,50/100,Rent or Buy,20000
The Lift Boy,2019,18+,7.2/10,50/100,,20000
London Road,2015,16+,5.3/10,50/100,+ Rent or Buy,20000
Little Lord Fauntleroy,1936,N/A,7.3/10,50/100,+ Rent or Buy,20000
Radio Free Albemuth,2010,18+,5.7/10,50/100,+ Rent or Buy,20000
It Happened at the World's Fair,1963,N/A,6.1/10,50/100,Rent or Buy,20000
Full Circle,1978,18+,6.3/10,50/100,Rent or Buy,20000
Free Ride,2013,18+,5.6/10,50/100,+ Rent or Buy,20000
The Creature Walks Among Us,1956,13+,5.8/10,50/100,,20000
Timecode,2016,all,7.1/10,50/100,Rent or Buy,20000
Fear in the Night,1947,N/A,6.4/10,50/100,+ Rent or Buy,20000
Journey to the West: The Demons Strike Back,2017,13+,5.4/10,50/100,Rent or Buy,20000
Opportunity Knocks,1990,13+,6.0/10,50/100,Rent or Buy,20000
Kalank,2019,N/A,3.6/10,50/100,,20000
Zoo,2018,7+,6.5/10,50/100,+ Rent or Buy,20000
MadHouse,1990,13+,5.5/10,50/100,+ Rent or Buy,20000
Bhaagamathie,2018,all,7.0/10,50/100,+ Rent or Buy,20050
What Happened Was...,1994,18+,7.2/10,50/100,+ Rent or Buy,20050
Barça Dreams,2015,N/A,7.3/10,50/100,+ Rent or Buy,20050
Martial Arts of Shaolin,1986,13+,6.5/10,50/100,+ Rent or Buy,20050
Tere Naal Love Ho Gaya,2012,7+,5.8/10,50/100,,20050
The Chronicles of Evil,2015,N/A,6.8/10,50/100,Rent or Buy,20050
Exit,2006,13+,5.8/10,50/100,Rent or Buy,20050
Macao,1952,N/A,6.7/10,50/100,+ Rent or Buy,20050
Supremacy,2014,18+,5.7/10,50/100,+ Rent or Buy,20050
The D Train,2015,18+,5.0/10,50/100,Rent or Buy,20050
100 Women,2002,18+,5.0/10,50/100,+ Rent or Buy,20050
Field of Lost Shoes,2015,13+,5.8/10,50/100,+ Rent or Buy,20050
Pixel Perfect,2004,all,5.7/10,50/100,+ Rent or Buy,20050
Christmas in Mississippi,2017,7+,6.5/10,50/100,+ Rent or Buy,20050
Radioland Murders,1994,7+,6.2/10,50/100,Rent or Buy,20050
Banksy and the Rise of Outlaw Art,2020,13+,7.0/10,50/100,+ Rent or Buy,20050
"Cougars, Inc.",2011,18+,5.0/10,50/100,+ Rent or Buy,20050
Flesh and Bone,1993,18+,6.2/10,50/100,Rent or Buy,20050
Kotoko,2011,N/A,6.7/10,50/100,Rent or Buy,20050
I Never Promised You a Rose Garden,1977,18+,6.5/10,50/100,,20050
The Corrupted,2019,18+,5.6/10,50/100,+ Rent or Buy,20050
Why We Fight: Prelude to War,1942,N/A,7.0/10,50/100,+ Rent or Buy,20050
Sturgill Simpson Presents Sound & Fury,2019,N/A,6.4/10,50/100,,20050
Pretty Maids All in a Row,1971,18+,6.2/10,50/100,Rent or Buy,20050
Dying of the Light,2014,18+,4.5/10,50/100,Rent or Buy,20050
44 Inch Chest,2009,18+,5.8/10,50/100,+ Rent or Buy,20050
"Elvira, I would give you my life but I'm using it",2014,18+,6.5/10,50/100,Rent or Buy,20050
Newtown,2016,N/A,6.8/10,50/100,+ Rent or Buy,20050
Come Together,2008,13+,2.9/10,50/100,Rent or Buy,20050
Savannah Smiles,1982,7+,7.1/10,50/100,dove+ Rent or Buy,20050
Behavior,2014,N/A,7.6/10,50/100,Rent or Buy,20050
The Wilby Conspiracy,1975,7+,6.4/10,50/100,+ Rent or Buy,20050
It Runs in the Family,2003,13+,5.6/10,50/100,+ Rent or Buy,20050
Burglar,1987,18+,5.1/10,50/100,Rent or Buy,20050
Hector,2015,N/A,6.9/10,50/100,+ Rent or Buy,20050
Nothing to Lose,2018,7+,5.4/10,50/100,+ Rent or Buy,20050
True Justice: Bryan Stevenson's Fight for Equality,2019,18+,8.3/10,50/100,+ Rent or Buy,20050
Asher,2018,18+,5.5/10,50/100,+ Rent or Buy,20050
Classic Albums: Metallica -The Black Album,2001,N/A,7.6/10,50/100,+ Rent or Buy,20050
Christmas with the Darlings,2020,all,7.2/10,50/100,,20050
My Little Pony: Equestria Girls - Forgotten Friendship,2018,all,7.3/10,50/100,,20050
